ID,Title,Sku,Stock
29,"Toaster 1000",TS1000,98
47,"Toaster Upsell",sku-toaster-upsell,
48,"Toaster Zubehör Crosselling",sku-toaster-crossselling,
152,"Toaster 1000",TS1000,98
155,"Toaster 1000",TS1000,98
158,"Toaster 1000",TS1000,98
161,"Toaster 1000",TS1000,98
249,"HV 7166 Kabelloser 2-in-1 Hand- und Stielsauger - Weiss-Rot",7166000,
250,"HV 7185 - SEPURO - Akku Hand- und Stielsauger mit Staubbeutel",7185000,
253,"HV 7187 - SEPURO Pro - Akku Hand- und Stielsauger mit Staubbeutel",7187000,
256,"ZB 7225 1x E12 Abluftfilter & 1x Motorschutzfilter",7225000,
326,"Toaster Bundle",,
