"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","post_author","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","downloadable_files","tax:language","tax:post_translations","tax:product_type","tax:product_visibility","tax:product_cat","tax:product_tag","tax:product_shipping_class","meta:total_sales","meta:wpseo_global_identifier_values","attribute:pa_akku","attribute_data:pa_akku","attribute_default:pa_akku","attribute:pa_anzahl-aufsaetze","attribute_data:pa_anzahl-aufsaetze","attribute_default:pa_anzahl-aufsaetze","attribute:pa_bruttogewicht-inkl-verp","attribute_data:pa_bruttogewicht-inkl-verp","attribute_default:pa_bruttogewicht-inkl-verp","attribute:pa_farbe","attribute_data:pa_farbe","attribute_default:pa_farbe","attribute:pa_fassungsvermoegen","attribute_data:pa_fassungsvermoegen","attribute_default:pa_fassungsvermoegen","attribute:pa_filtereinsatz","attribute_data:pa_filtereinsatz","attribute_default:pa_filtereinsatz","attribute:pa_geraeuschentwicklung","attribute_data:pa_geraeuschentwicklung","attribute_default:pa_geraeuschentwicklung","attribute:pa_gewicht","attribute_data:pa_gewicht","attribute_default:pa_gewicht","attribute:pa_ladezeit","attribute_data:pa_ladezeit","attribute_default:pa_ladezeit","attribute:pa_laufzeit-leistung-eco","attribute_data:pa_laufzeit-leistung-eco","attribute_default:pa_laufzeit-leistung-eco","attribute:pa_masse-des-produktes","attribute_data:pa_masse-des-produktes","attribute_default:pa_masse-des-produktes","attribute:pa_saugleistung","attribute_data:pa_saugleistung","attribute_default:pa_saugleistung","attribute:pa_saugstaerke","attribute_data:pa_saugstaerke","attribute_default:pa_saugstaerke","attribute:pa_saugstufen","attribute_data:pa_saugstufen","attribute_default:pa_saugstufen","attribute:pa_staubbeutel","attribute_data:pa_staubbeutel","attribute_default:pa_staubbeutel","attribute:pa_staubsaugertyp","attribute_data:pa_staubsaugertyp","attribute_default:pa_staubsaugertyp"
"Toaster 1000","toaster-1000","29","","Dies ist die Kategoriebeschreibung für den Toaster 1000","publish","0","2022-02-27 01:50:03","0","1","open","TS1000","no","no","","0","outofstock","no","yes","101","","","0.00","0.00","0.00","taxable","","","","no","","","'-1","'-1","","","","Toaster 1000 | Direkt vom Hersteller | SEVERIN","Toaster 1000 von Severin online kaufen. Für nur EUR 100.00 mit 2 Jahren Herstellergarantie ✅ Next-Day Delivery ✅ über 500'000 zufriedene Kunden.","","https://severin.sixa.ch/wp-content/uploads/2022/02/hauptbild.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-1.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-2.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-3.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-4.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-5.jpg","","de-de","pll_622a7fa416a9e","simple","outofstock","Unkategorisiert","","","330","{""gtin8"":"""",""gtin12"":"""",""gtin13"":"""",""gtin14"":"""",""isbn"":"""",""mpn"":""""}","","","","","","","","","","Blau","0|1|0","","","","","","","","","","","1000","1|1|0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Toaster Upsell","toaster-upsell","47","","","publish","0","2022-03-10 23:28:21","0","1","open","sku-toaster-upsell","no","no","","0","outofstock","no","yes","10","","","","","","taxable","","","","no","","","'-1","'-1","","","","","","","","","de-de","","simple","outofstock","Unkategorisiert","","","462","","","","","","","","","","","Grün","0|1|0","","","","","","","","","","","300","1|1|0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Toaster Zubehör Crosselling","toaster-zubehoer-crosselling","48","","","publish","0","2022-03-10 23:30:14","0","1","open","sku-toaster-crossselling","no","no","","0","outofstock","no","yes","50","","","","","","taxable","","","","no","","","'-1","'-1","","","","","","","","","de-de","","simple","outofstock","Unkategorisiert","","","626","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Toaster 1000","toaster-1000","152","","Dies ist die Kategoriebeschreibung für den Toaster 1000","publish","0","2022-02-27 01:50:03","0","1","open","TS1000","no","no","","0","outofstock","no","yes","101","","","0.00","0.00","0.00","taxable","","","","no","","","'-1","'-1","","","","","","","https://severin.sixa.ch/wp-content/uploads/2022/02/hauptbild.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-1.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-2.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-3.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-4.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-5.jpg","","de-at","pll_622a7fa416a9e","simple","outofstock","Uncategorized","","","168","","","","","","","","","","","Blau","0|1|0","","","","","","","","","","","1000","1|1|0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Toaster 1000","toaster-1000","155","","Dies ist die Kategoriebeschreibung für den Toaster 1000","publish","0","2022-02-27 01:50:03","0","1","open","TS1000","no","no","","0","outofstock","no","yes","101","","","0.00","0.00","0.00","taxable","","","","no","","","'-1","'-1","","","","","","","https://severin.sixa.ch/wp-content/uploads/2022/02/hauptbild.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-1.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-2.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-3.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-4.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-5.jpg","","fr","pll_622a7fa416a9e","simple","outofstock","Uncategorized","","","160","","","","","","","","","","","Blau","0|1|0","","","","","","","","","","","1000","1|1|0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Toaster 1000","toaster-1000","158","","Dies ist die Kategoriebeschreibung für den Toaster 1000","publish","0","2022-02-27 01:50:03","0","1","open","TS1000","no","no","","0","outofstock","no","yes","101","","","0.00","0.00","0.00","taxable","","","","no","","","'-1","'-1","","","","","","","https://severin.sixa.ch/wp-content/uploads/2022/02/hauptbild.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-1.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-2.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-3.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-4.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-5.jpg","","it","pll_622a7fa416a9e","simple","outofstock","Uncategorized","","","172","","","","","","","","","","","Blau","0|1|0","","","","","","","","","","","1000","1|1|0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Toaster 1000","toaster-1000","161","","Dies ist die Kategoriebeschreibung für den Toaster 1000","publish","0","2022-02-27 01:50:03","0","1","open","TS1000","no","no","","0","outofstock","no","yes","101","","","0.00","0.00","0.00","taxable","","","","no","","","'-1","'-1","","","","","","","https://severin.sixa.ch/wp-content/uploads/2022/02/hauptbild.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-1.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-2.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-3.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-4.jpg | https://severin.sixa.ch/wp-content/uploads/2022/02/galerie-5.jpg","","de-ch","pll_622a7fa416a9e","simple","outofstock","Uncategorized","","","178","","","","","","","","","","","Blau","0|1|0","","","","","","","","","","","1000","1|1|0","","","","","","","","","","","","","","","","","","","","","","","","",""
"HV 7166 Kabelloser 2-in-1 Hand- und Stielsauger - Weiss-Rot","hv-7166-kabelloser-2-in-1-hand-und-stielsauger-weiss-rot","249","Der HV 7166 ist deal also für die schnelle und gründliche Reinigung. Mit einer Akkulaufzeit von bis zu 60 Minuten ermöglicht er eine Reinigung ohne Ladepause – und das in drei verschiedenen Modi. Die High-Speed-Elektrobürste sorgt mit dem Digitalmotor für ideale Ergebnisse – auch bei Tierhaaren oder stärkeren Verschmutzungen. Per Knopfdruck machst du deinen HV 7166 zum Handstaubsauger. Verschiedene Aufsätze sorgen für diverse Einsatzgebiete.","","publish","0","2022-03-11 16:22:40","0","1","open","7166000","no","no","","100","instock","no","yes","269","","","","","","taxable","","256","","no","","","'-1","'-1","","","","","","","https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7166-kabelloser-2-in-1-hand-und-stielsauger-schwarz-granatrot-frontal.png | https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7168-kabelloser-2-in-1-hand-und-stielsauger-schwarz-granatrot-elektrobuerste.png | https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7166-kabelloser-2-in-1-hand-und-stielsauger-schwarz-granatrot-zuehoer.png | https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7166-kabelloser-2-in-1-hand-und-stielsauger-schwarz-granatrot-wandhalterung.png | https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7166-kabelloser-2-in-1-hand-und-stielsauger-schwarz-granatrot-mood.png | https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7166-kabelloser-2-in-1-hand-und-stielsauger-schwarz-granatrot-entleerung.png","","de-de","","simple","","Haushalt > Staubsauger > Akkustaubsauger","","","450","","Li-Ion: 25.9V 2.500 mAh","2|1|0","","3","4|1|0","","4.82 kg","14|1|0","","Weiss-Rot","1|1|0","","0.5 Liter","6|1|0","","E-12","7|1|0","","75 dB","5|1|0","","","","","3 h","10|1|0","","60 Minuten","9|1|0","","77,8 x 29,2 x 13,8 cm","13|1|0","","400 Watt","11|1|0","","23 kPa","12|1|0","","3","3|1|0","","Nein","8|1|0","","Kabelloser Staubsauger","0|1|0",""
"HV 7185 - SEPURO - Akku Hand- und Stielsauger mit Staubbeutel","hv-7185-sepuro-akku-hand-und-stielsauger-mit-staubbeutel","250","Absolut hygienische Reinheit im ganzen Haus dank dem SEPURO mit innovativer Staubbeutel-Technologie. Durch das innovatives Quick Charge System ist der Akku unter einer Stunde wieder voll aufgeladen und hält anschliessend bis zu 60 Minuten. Der SEPURO ist ein absolutes Leichtgewicht und sorgt für einen hohen Komfort im Alltag. Mit dem HEPA13 Filter werden 99.89% der Allergene gefiltert und ist somit auch für Allergiker geeignet.","","publish","0","2022-03-11 17:05:30","0","1","open","7185000","no","no","","100","instock","no","yes","279","","","","","","taxable","","253","","no","","","'-1","'-1","","","","","","","https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7185-sepuro-akku-hand-und-stielsauger-mit-staubbeutel_frontal.png | https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7185-sepuro-akku-hand-und-stielsauger-mit-staubbeutel_staubbeutel.png | https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7185-sepuro-akku-hand-und-stielsauger-mit-staubbeutel_filter.png | https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7185-sepuro-akku-hand-und-stielsauger-mit-staubbeutel_seite.png | https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7185-sepuro-akku-hand-und-stielsauger-mit-staubbeutel_handstaubsauger.png","","de-de","","simple","","Haushalt > Staubsauger > Akkustaubsauger","","","454","","Li-Ion: 18V 3.000 mAh","2|1|0","","3","4|1|0","","6.84 kg","14|1|0","","Anthrazit","1|1|0","","1 Liter","5|1|0","","HEPA 13","6|1|0","","79 dB","7|1|0","","","","","&lt; 1 h","10|1|0","","60 Minuten","9|1|0","","112 x 12 x 22 cm","13|1|0","","280 Watt","11|1|0","","20 kPa","12|1|0","","3","3|1|0","","Ja","8|1|0","","Kabelloser Staubsauger","0|1|0",""
"HV 7187 - SEPURO Pro - Akku Hand- und Stielsauger mit Staubbeutel","hv-7187-sepuro-akku-hand-und-stielsauger-mit-staubbeutel","253","Absolut hygienische Reinheit im ganzen Haus dank dem SEPURO Pro mit innovativer Staubbeutel-Technologie. Der HV 7187 zeichnet sich durch eine noch stärkere Saugleistung aus als der SEPURO und verfügt über eine zusätzliche Turbo-Stufe für maximale Saugleistung und absolute Sauberkeit im ganzen Haus. Durch das innovatives Quick Charge System ist der Akku unter einer Stunde wieder voll aufgeladen und hält anschliessend bis zu 60 Minuten. Mit dem HEPA13 Filter werden 99.98% der Allergene gefiltert und ist somit auch für Allergiker geeignet.","","publish","0","2022-03-11 17:06:40","0","1","open","7187000","no","no","","100","instock","no","yes","349","","","","","","taxable","","","","no","","","'-1","'-1","","","","","","","https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7187-sepuro-pro-akku-hand-und-stielsauger-mit-staubbeutel_frontal.png | https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7187-sepuro-pro-akku-hand-und-stielsauger-mit-staubbeutel_wandhalterung.png | https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7187-sepuro-pro-akku-hand-und-stielsauger-mit-staubbeutel_bodenduese.png | https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7187-sepuro-pro-akku-hand-und-stielsauger-mit-staubbeutel_akku.png | https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7187-sepuro-pro-akku-hand-und-stielsauger-mit-staubbeutel_zubehoer.png | https://severin.sixa.ch/wp-content/uploads/2022/03/severin-hv-7187-sepuro-pro-akku-hand-und-stielsauger-mit-staubbeutel_staubbeutel.png","","de-de","","simple","","Haushalt > Staubsauger > Akkustaubsauger","","","469","{""gtin8"":"""",""gtin12"":"""",""gtin13"":"""",""gtin14"":"""",""isbn"":"""",""mpn"":""""}","Li-Ion: 18V 3.000 mAh","2|1|0","","4","4|1|0","","6.84 kg","14|1|0","","Schwarz-Matt","1|1|0","","1 Liter","6|1|0","","HEPA 13","7|1|0","","79 dB","5|1|0","","","","","&lt; 1 h","10|1|0","","60 Minuten","9|1|0","","112 x 12 x 22 cm","13|1|0","","450 Watt","11|1|0","","24 kPa","12|1|0","","4","3|1|0","","Ja","8|1|0","","Kabelloser Staubsauger","0|1|0",""
